,Low,2,3,4,5,High
"overall
(850)",0.5882352941176471,1.5294117647058825,7.294117647058823,24.352941176470587,45.64705882352941,20.588235294117645
"Europe:France
(125)",1.6,0.8,4.8,26.400000000000002,44.0,22.400000000000002
"Europe:Germany
(159)",0.0,0.0,4.40251572327044,27.044025157232703,52.20125786163522,16.352201257861633
"Europe:Italy
(57)",0.0,0.0,7.017543859649122,28.07017543859649,47.368421052631575,17.543859649122805
"Europe:UK
(67)",0.0,0.0,1.4925373134328357,19.402985074626866,53.73134328358209,25.37313432835821
"Europe:others
(144)",1.3888888888888888,3.4722222222222223,7.638888888888889,16.666666666666664,50.69444444444444,20.13888888888889
"Japan
(64)",0.0,1.5625,7.8125,21.875,51.5625,17.1875
"Russia
(94)",1.0638297872340425,4.25531914893617,15.957446808510639,39.361702127659576,29.78723404255319,9.574468085106384
"USA
(58)",0.0,0.0,5.172413793103448,17.24137931034483,37.93103448275862,39.6551724137931
